tour,date,tournament,surface,best_of,format,round,player1,player2,p1a,p1b,p2a,p2b,source
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,singles,Quarterfinal,Arthur Gea,Francisco Cerundolo,,,,,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,singles,Quarterfinal,Jenson Brooksby,Chak Lam Coleman Wong,,,,,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,singles,Quarterfinal,Dalibor Svrcina,Denis Shapovalov,,,,,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,singles,Quarterfinal,Bernard Tomic,Cameron Norrie,,,,,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,doubles,Quarterfinal,Rinky Hijikata / Reese Stalder,Finn Reynolds / James Watt,Rinky Hijikata,Reese Stalder,Finn Reynolds,James Watt,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,doubles,Quarterfinal,Ray Ho / Benjamin Kittay,Ryan Seggerman / Patrik Trhac,Ray Ho,Benjamin Kittay,Ryan Seggerman,Patrik Trhac,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,doubles,Quarterfinal,Luis Carlos Alvarez / Alan Magadan,Gonzalo Escobar / Niki Kaliyanda Poonacha,Luis Carlos Alvarez,Alan Magadan,Gonzalo Escobar,Niki Kaliyanda Poonacha,espn
atp,20260731,Mifel Tennis Open by Telcel Oppo,Hard,3,doubles,Quarterfinal,Orlando Luz / Rafael Matos,Pruchya Isaro / Joshua Paris,Orlando Luz,Rafael Matos,Pruchya Isaro,Joshua Paris,espn
atp,20260730,Mubadala DC Open,Hard,3,singles,Round 2,Alejandro Tabilo,Terence Atmane,,,,,espn
atp,20260730,Mubadala DC Open,Hard,3,singles,Round 2,Ben Shelton,Ugo Humbert,,,,,espn
atp,20260731,Mubadala DC Open,Hard,3,singles,Quarterfinal,Lorenzo Musetti,Rafael Jodar,,,,,espn
atp,20260731,Mubadala DC Open,Hard,3,singles,Quarterfinal,Alex Michelsen,Taylor Fritz,,,,,espn
wta,20260730,Mubadala DC Open,Hard,3,singles,Round 2,Magdalena Frech,Jessica Pegula,,,,,espn
wta,20260730,Mubadala DC Open,Hard,3,singles,Round 2,Anastasia Potapova,Diana Shnaider,,,,,espn
wta,20260731,Mubadala DC Open,Hard,3,singles,Round 2,Elina Svitolina,Polina Kudermetova,,,,,espn
wta,20260731,Mubadala DC Open,Hard,3,singles,Quarterfinal,Naomi Osaka,Elisabetta Cocciaretto,,,,,espn
atp,20260730,Mubadala DC Open,Hard,3,doubles,Quarterfinal,Ariel Behar / Anirudh Chandrasekar,Simone Bolelli / Andrea Vavassori,Ariel Behar,Anirudh Chandrasekar,Simone Bolelli,Andrea Vavassori,espn
atp,20260731,Mubadala DC Open,Hard,3,doubles,Quarterfinal,Sadio Doumbia / Fabien Reboul,Julian Cash / Lloyd Glasspool,Sadio Doumbia,Fabien Reboul,Julian Cash,Lloyd Glasspool,espn
wta,20260731,Mubadala DC Open,Hard,3,doubles,Semifinal,Janice Tjen / Zhang Shuai,Andreja Klepac / Makoto Ninomiya,Janice Tjen,Zhang Shuai,Andreja Klepac,Makoto Ninomiya,espn
wta,20260731,Mubadala DC Open,Hard,3,doubles,Semifinal,Erin Routliffe / Aldila Sutjiadi,Tang Qianhui / Xu Yifan,Erin Routliffe,Aldila Sutjiadi,Tang Qianhui,Xu Yifan,espn
atp,,Bonn Open,Hard,3,singles,Quarterfinal,Jan Choinski,Unknown,,,,,tennis.com
atp,,Bonn Open,Hard,3,singles,Quarterfinal,Matheus Pucinelli de Almeida,Federico Agustin Gomez,,,,,tennis.com
